Strategy A,n = 1000000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
Space Name,Times Landed On,Percent Landed On (%)
GO,27603,2.567
MEDITERRANEAN_AVENUE,21618,2.011
COMMUNITY_CHEST_1,21779,2.026
BALTIC_AVENUE,21921,2.039
INCOME_TAX,23540,2.189
READING_RAILROAD,25780,2.398
ORIENTAL_AVENUE,22719,2.113
CHANCE_1,22761,2.117
VERMONT_AVENUE,23096,2.148
CONNECTICUT_AVENUE,22696,2.111
JAIL,65881,6.127
ST_CHARLES_PLACE,26905,2.502
ELECTRIC_COMPANY,25676,2.388
STATES_AVENUE,23505,2.186
VIRGINIA_AVENUE,24756,2.302
PENNSYLVANIA_RAILROAD,27734,2.579
ST_JAMES_PLACE,27591,2.566
COMMUNITY_CHEST_2,29624,2.755
TENNESSEE_AVENUE,29117,2.708
NEW_YORK_AVENUE,30654,2.851
FREE_PARKING,28553,2.656
KENTUCKY_AVENUE,28155,2.619
CHANCE_2,27684,2.575
INDIANA_AVENUE,27213,2.531
ILLINOIS_AVENUE,31613,2.940
BO_RAILROAD,29169,2.713
ATLANTIC_AVENUE,27105,2.521
VENTNOR_AVENUE,26838,2.496
WATER_WORKS,28176,2.621
MARVIN_GARDENS,26086,2.426
GO_TO_JAIL,26415,2.457
PACIFIC_AVENUE,26569,2.471
NORTH_CAROLINA_AVENUE,26315,2.447
COMMUNITY_CHEST_3,27037,2.515
PENNSYLVANIA_AVENUE,25064,2.331
SHORT_LINE,24165,2.248
CHANCE_3,23164,2.154
PARK_PLACE,21986,2.045
LUXURY_TAX,22267,2.071
BOARDWALK,26653,2.479


Trial 6

Space Name,Times Landed On,Percent Landed On (%)
GO,27694,2.575
MEDITERRANEAN_AVENUE,21659,2.014
COMMUNITY_CHEST_1,22002,2.046
BALTIC_AVENUE,22082,2.053
INCOME_TAX,23822,2.215
READING_RAILROAD,25991,2.417
ORIENTAL_AVENUE,22465,2.089
CHANCE_1,22698,2.111
VERMONT_AVENUE,22963,2.135
CONNECTICUT_AVENUE,22718,2.113
JAIL,65984,6.136
ST_CHARLES_PLACE,26730,2.486
ELECTRIC_COMPANY,25785,2.398
STATES_AVENUE,23508,2.186
VIRGINIA_AVENUE,24814,2.307
PENNSYLVANIA_RAILROAD,27634,2.570
ST_JAMES_PLACE,27486,2.556
COMMUNITY_CHEST_2,29325,2.727
TENNESSEE_AVENUE,29119,2.708
NEW_YORK_AVENUE,30827,2.867
FREE_PARKING,28745,2.673
KENTUCKY_AVENUE,27901,2.595
CHANCE_2,27916,2.596
INDIANA_AVENUE,27217,2.531
ILLINOIS_AVENUE,31846,2.961
BO_RAILROAD,28919,2.689
ATLANTIC_AVENUE,27362,2.544
VENTNOR_AVENUE,26710,2.484
WATER_WORKS,28240,2.626
MARVIN_GARDENS,25939,2.412
GO_TO_JAIL,26380,2.453
PACIFIC_AVENUE,26849,2.497
NORTH_CAROLINA_AVENUE,26201,2.436
COMMUNITY_CHEST_3,26699,2.483
PENNSYLVANIA_AVENUE,25175,2.341
SHORT_LINE,24045,2.236
CHANCE_3,23268,2.164
PARK_PLACE,22191,2.064
LUXURY_TAX,22049,2.050
BOARDWALK,26415,2.456


Trial 7

Space Name,Times Landed On,Percent Landed On (%)
GO,27625,2.569
MEDITERRANEAN_AVENUE,21587,2.008
COMMUNITY_CHEST_1,21766,2.024
BALTIC_AVENUE,22199,2.065
INCOME_TAX,23742,2.208
READING_RAILROAD,25878,2.407
ORIENTAL_AVENUE,22604,2.102
CHANCE_1,22991,2.138
VERMONT_AVENUE,22926,2.132
CONNECTICUT_AVENUE,22842,2.124
JAIL,65746,6.115
ST_CHARLES_PLACE,26906,2.502
ELECTRIC_COMPANY,25286,2.352
STATES_AVENUE,23491,2.185
VIRGINIA_AVENUE,24569,2.285
PENNSYLVANIA_RAILROAD,27790,2.585
ST_JAMES_PLACE,27841,2.589
COMMUNITY_CHEST_2,29477,2.742
TENNESSEE_AVENUE,29374,2.732
NEW_YORK_AVENUE,30459,2.833
FREE_PARKING,28593,2.659
KENTUCKY_AVENUE,27912,2.596
CHANCE_2,27604,2.567
INDIANA_AVENUE,27037,2.515
ILLINOIS_AVENUE,32018,2.978
BO_RAILROAD,28799,2.678
ATLANTIC_AVENUE,27271,2.536
VENTNOR_AVENUE,26827,2.495
WATER_WORKS,28424,2.644
MARVIN_GARDENS,26091,2.427
GO_TO_JAIL,26193,2.436
PACIFIC_AVENUE,26655,2.479
NORTH_CAROLINA_AVENUE,26144,2.432
COMMUNITY_CHEST_3,26879,2.500
PENNSYLVANIA_AVENUE,25391,2.362
SHORT_LINE,24013,2.233
CHANCE_3,23579,2.193
PARK_PLACE,22097,2.055
LUXURY_TAX,22337,2.077
BOARDWALK,26234,2.440


Trial 8

Space Name,Times Landed On,Percent Landed On (%)
GO,27688,2.574
MEDITERRANEAN_AVENUE,21597,2.008
COMMUNITY_CHEST_1,21962,2.042
BALTIC_AVENUE,21986,2.044
INCOME_TAX,23310,2.167
READING_RAILROAD,25714,2.391
ORIENTAL_AVENUE,22391,2.082
CHANCE_1,23072,2.145
VERMONT_AVENUE,22873,2.127
CONNECTICUT_AVENUE,22813,2.121
