Strategy B,n = 1000000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,27868,2.787
MEDITERRANEAN_AVENUE,21398,2.140
COMMUNITY_CHEST_1,22106,2.211
BALTIC_AVENUE,22074,2.207
INCOME_TAX,23392,2.339
READING_RAILROAD,25690,2.569
ORIENTAL_AVENUE,22614,2.261
CHANCE_1,22836,2.284
VERMONT_AVENUE,22958,2.296
CONNECTICUT_AVENUE,22722,2.272
JAIL,66065,6.607
ST_CHARLES_PLACE,26677,2.668
ELECTRIC_COMPANY,25718,2.572
STATES_AVENUE,23768,2.377
VIRGINIA_AVENUE,24503,2.450
PENNSYLVANIA_RAILROAD,27648,2.765
ST_JAMES_PLACE,27623,2.762
COMMUNITY_CHEST_2,29472,2.947
TENNESSEE_AVENUE,29107,2.911
NEW_YORK_AVENUE,30660,3.066
FREE_PARKING,28384,2.838
KENTUCKY_AVENUE,28225,2.823
CHANCE_2,27588,2.759
INDIANA_AVENUE,27058,2.706
ILLINOIS_AVENUE,31847,3.185
BO_RAILROAD,28805,2.881
ATLANTIC_AVENUE,26969,2.697
VENTNOR_AVENUE,26805,2.681
WATER_WORKS,28160,2.816
MARVIN_GARDENS,26101,2.610
GO_TO_JAIL,26304,2.630
PACIFIC_AVENUE,27062,2.706
NORTH_CAROLINA_AVENUE,26125,2.613
COMMUNITY_CHEST_3,26583,2.658
PENNSYLVANIA_AVENUE,24941,2.494
SHORT_LINE,24563,2.456
CHANCE_3,23068,2.307
PARK_PLACE,22005,2.201
LUXURY_TAX,21918,2.192
BOARDWALK,26563,2.656


Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,27627,2.763
MEDITERRANEAN_AVENUE,21757,2.176
COMMUNITY_CHEST_1,21939,2.194
BALTIC_AVENUE,21807,2.181
INCOME_TAX,23567,2.357
READING_RAILROAD,26038,2.604
ORIENTAL_AVENUE,22749,2.275
CHANCE_1,23111,2.311
VERMONT_AVENUE,22873,2.287
CONNECTICUT_AVENUE,22714,2.271
JAIL,65676,6.568
ST_CHARLES_PLACE,26834,2.683
ELECTRIC_COMPANY,25751,2.575
STATES_AVENUE,23560,2.356
VIRGINIA_AVENUE,24737,2.474
PENNSYLVANIA_RAILROAD,27520,2.752
ST_JAMES_PLACE,27774,2.777
COMMUNITY_CHEST_2,28867,2.887
TENNESSEE_AVENUE,29421,2.942
NEW_YORK_AVENUE,30611,3.061
FREE_PARKING,28608,2.861
KENTUCKY_AVENUE,28133,2.813
CHANCE_2,27841,2.784
INDIANA_AVENUE,26972,2.697
ILLINOIS_AVENUE,31831,3.183
BO_RAILROAD,29001,2.900
ATLANTIC_AVENUE,27072,2.707
VENTNOR_AVENUE,26719,2.672
WATER_WORKS,28341,2.834
MARVIN_GARDENS,26146,2.615
GO_TO_JAIL,26079,2.608
PACIFIC_AVENUE,26656,2.666
NORTH_CAROLINA_AVENUE,25975,2.598
COMMUNITY_CHEST_3,27168,2.717
PENNSYLVANIA_AVENUE,24779,2.478
SHORT_LINE,24163,2.416
CHANCE_3,23318,2.332
PARK_PLACE,21937,2.194
LUXURY_TAX,22138,2.214
