Strategy B,n = 10000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
CONNECTICUT_AVENUE,215,1.998
JAIL,678,6.301
ST_CHARLES_PLACE,252,2.342
ELECTRIC_COMPANY,261,2.425
STATES_AVENUE,242,2.249
VIRGINIA_AVENUE,251,2.332
PENNSYLVANIA_RAILROAD,281,2.611
ST_JAMES_PLACE,290,2.695
COMMUNITY_CHEST_2,293,2.723
TENNESSEE_AVENUE,295,2.741
NEW_YORK_AVENUE,312,2.899
FREE_PARKING,274,2.546
KENTUCKY_AVENUE,286,2.658
CHANCE_2,288,2.676
INDIANA_AVENUE,270,2.509
ILLINOIS_AVENUE,323,3.002
BO_RAILROAD,274,2.546
ATLANTIC_AVENUE,276,2.565
VENTNOR_AVENUE,273,2.537
WATER_WORKS,307,2.853
MARVIN_GARDENS,245,2.277
GO_TO_JAIL,261,2.425
PACIFIC_AVENUE,274,2.546
NORTH_CAROLINA_AVENUE,278,2.583
COMMUNITY_CHEST_3,245,2.277
PENNSYLVANIA_AVENUE,247,2.295
SHORT_LINE,239,2.221
CHANCE_3,242,2.249
PARK_PLACE,240,2.230
LUXURY_TAX,213,1.979
BOARDWALK,263,2.444


Trial 6

Space Name,Times Landed On,Percent Landed On (%)
GO,296,2.752
MEDITERRANEAN_AVENUE,203,1.887
COMMUNITY_CHEST_1,221,2.055
BALTIC_AVENUE,218,2.027
INCOME_TAX,247,2.297
READING_RAILROAD,244,2.269
ORIENTAL_AVENUE,218,2.027
CHANCE_1,221,2.055
VERMONT_AVENUE,226,2.101
CONNECTICUT_AVENUE,237,2.204
JAIL,696,6.471
ST_CHARLES_PLACE,261,2.427
ELECTRIC_COMPANY,242,2.250
STATES_AVENUE,239,2.222
VIRGINIA_AVENUE,246,2.287
PENNSYLVANIA_RAILROAD,277,2.576
ST_JAMES_PLACE,256,2.380
COMMUNITY_CHEST_2,286,2.659
TENNESSEE_AVENUE,287,2.669
NEW_YORK_AVENUE,320,2.975
FREE_PARKING,315,2.929
KENTUCKY_AVENUE,261,2.427
CHANCE_2,286,2.659
INDIANA_AVENUE,302,2.808
ILLINOIS_AVENUE,322,2.994
BO_RAILROAD,280,2.603
ATLANTIC_AVENUE,269,2.501
VENTNOR_AVENUE,265,2.464
WATER_WORKS,268,2.492
MARVIN_GARDENS,254,2.362
GO_TO_JAIL,280,2.603
PACIFIC_AVENUE,254,2.362
NORTH_CAROLINA_AVENUE,263,2.445
COMMUNITY_CHEST_3,284,2.641
PENNSYLVANIA_AVENUE,236,2.194
SHORT_LINE,266,2.473
CHANCE_3,223,2.073
PARK_PLACE,197,1.832
LUXURY_TAX,243,2.259
BOARDWALK,246,2.287


Trial 7

Space Name,Times Landed On,Percent Landed On (%)
GO,278,2.587
MEDITERRANEAN_AVENUE,195,1.815
COMMUNITY_CHEST_1,224,2.084
BALTIC_AVENUE,215,2.001
INCOME_TAX,244,2.271
READING_RAILROAD,258,2.401
ORIENTAL_AVENUE,236,2.196
CHANCE_1,199,1.852
VERMONT_AVENUE,252,2.345
CONNECTICUT_AVENUE,236,2.196
JAIL,648,6.030
ST_CHARLES_PLACE,274,2.550
ELECTRIC_COMPANY,275,2.559
STATES_AVENUE,236,2.196
VIRGINIA_AVENUE,232,2.159
PENNSYLVANIA_RAILROAD,266,2.475
ST_JAMES_PLACE,271,2.522
COMMUNITY_CHEST_2,293,2.727
TENNESSEE_AVENUE,265,2.466
NEW_YORK_AVENUE,341,3.173
FREE_PARKING,283,2.634
KENTUCKY_AVENUE,284,2.643
CHANCE_2,289,2.689
INDIANA_AVENUE,293,2.727
ILLINOIS_AVENUE,309,2.875
BO_RAILROAD,289,2.689
ATLANTIC_AVENUE,272,2.531
VENTNOR_AVENUE,258,2.401
WATER_WORKS,280,2.606
MARVIN_GARDENS,279,2.596
GO_TO_JAIL,280,2.606
PACIFIC_AVENUE,237,2.205
NORTH_CAROLINA_AVENUE,275,2.559
COMMUNITY_CHEST_3,252,2.345
PENNSYLVANIA_AVENUE,242,2.252
SHORT_LINE,269,2.503
CHANCE_3,219,2.038
PARK_PLACE,211,1.964
LUXURY_TAX,223,2.075
BOARDWALK,264,2.457


Trial 8

Space Name,Times Landed On,Percent Landed On (%)
GO,297,2.769
MEDITERRANEAN_AVENUE,209,1.948
COMMUNITY_CHEST_1,219,2.042
BALTIC_AVENUE,224,2.088
INCOME_TAX,242,2.256
READING_RAILROAD,267,2.489
ORIENTAL_AVENUE,233,2.172
CHANCE_1,229,2.135
VERMONT_AVENUE,211,1.967
CONNECTICUT_AVENUE,248,2.312
JAIL,612,5.705
ST_CHARLES_PLACE,278,2.592
ELECTRIC_COMPANY,259,2.414
STATES_AVENUE,223,2.079
VIRGINIA_AVENUE,253,2.359
PENNSYLVANIA_RAILROAD,279,2.601
ST_JAMES_PLACE,267,2.489
COMMUNITY_CHEST_2,273,2.545
TENNESSEE_AVENUE,301,2.806
NEW_YORK_AVENUE,303,2.825
FREE_PARKING,298,2.778
KENTUCKY_AVENUE,272,2.536
CHANCE_2,287,2.675
INDIANA_AVENUE,261,2.433
ILLINOIS_AVENUE,324,3.020
BO_RAILROAD,274,2.554
ATLANTIC_AVENUE,280,2.610
VENTNOR_AVENUE,276,2.573
WATER_WORKS,266,2.480
MARVIN_GARDENS,274,2.554
GO_TO_JAIL,243,2.265
PACIFIC_AVENUE,265,2.470
NORTH_CAROLINA_AVENUE,271,2.526
COMMUNITY_CHEST_3,271,2.526
PENNSYLVANIA_AVENUE,236,2.200
SHORT_LINE,248,2.312
CHANCE_3,239,2.228
PARK_PLACE,225,2.098
LUXURY_TAX,207,1.930
BOARDWALK,283,2.638


Trial 9

Space Name,Times Landed On,Percent Landed On (%)
GO,279,2.598
MEDITERRANEAN_AVENUE,231,2.151
COMMUNITY_CHEST_1,227,2.114
BALTIC_AVENUE,220,2.049
INCOME_TAX,248,2.310
READING_RAILROAD,273,2.542
ORIENTAL_AVENUE,223,2.077
CHANCE_1,219,2.039
VERMONT_AVENUE,219,2.039
CONNECTICUT_AVENUE,208,1.937
JAIL,676,6.295
ST_CHARLES_PLACE,278,2.589
ELECTRIC_COMPANY,282,2.626
STATES_AVENUE,217,2.021
VIRGINIA_AVENUE,237,2.207
PENNSYLVANIA_RAILROAD,268,2.496
ST_JAMES_PLACE,296,2.757
COMMUNITY_CHEST_2,258,2.403
TENNESSEE_AVENUE,289,2.691
NEW_YORK_AVENUE,310,2.887
FREE_PARKING,300,2.794
KENTUCKY_AVENUE,265,2.468
CHANCE_2,297,2.766
INDIANA_AVENUE,283,2.636
ILLINOIS_AVENUE,297,2.766
BO_RAILROAD,298,2.775
ATLANTIC_AVENUE,262,2.440
VENTNOR_AVENUE,265,2.468
WATER_WORKS,271,2.524
MARVIN_GARDENS,276,2.570
GO_TO_JAIL,249,2.319
PACIFIC_AVENUE,283,2.636
NORTH_CAROLINA_AVENUE,257,2.393
COMMUNITY_CHEST_3,281,2.617
PENNSYLVANIA_AVENUE,229,2.133
SHORT_LINE,264,2.459
CHANCE_3,234,2.179
PARK_PLACE,201,1.872
LUXURY_TAX,215,2.002
BOARDWALK,253,2.356


Trial 10

Space Name,Times Landed On,Percent Landed On (%)
GO,287,2.679
MEDITERRANEAN_AVENUE,207,1.932
COMMUNITY_CHEST_1,208,1.942
BALTIC_AVENUE,215,2.007
INCOME_TAX,240,2.240
READING_RAILROAD,262,2.446
ORIENTAL_AVENUE,215,2.007
CHANCE_1,225,2.100
