Strategy A,n = 100000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,2741,2.551
MEDITERRANEAN_AVENUE,2140,1.992
COMMUNITY_CHEST_1,2265,2.108
BALTIC_AVENUE,2247,2.091
INCOME_TAX,2304,2.144
READING_RAILROAD,2548,2.371
ORIENTAL_AVENUE,2278,2.120
CHANCE_1,2263,2.106
VERMONT_AVENUE,2330,2.168
CONNECTICUT_AVENUE,2221,2.067
JAIL,6597,6.140
ST_CHARLES_PLACE,2644,2.461
ELECTRIC_COMPANY,2596,2.416
STATES_AVENUE,2374,2.209
VIRGINIA_AVENUE,2460,2.289
PENNSYLVANIA_RAILROAD,2823,2.627
ST_JAMES_PLACE,2784,2.591
COMMUNITY_CHEST_2,2849,2.651
TENNESSEE_AVENUE,2965,2.759
NEW_YORK_AVENUE,3049,2.838
FREE_PARKING,2830,2.634
KENTUCKY_AVENUE,2746,2.556
CHANCE_2,2728,2.539
INDIANA_AVENUE,2704,2.516
ILLINOIS_AVENUE,3162,2.943
BO_RAILROAD,2860,2.662
ATLANTIC_AVENUE,2815,2.620
VENTNOR_AVENUE,2660,2.476
WATER_WORKS,2932,2.729
MARVIN_GARDENS,2607,2.426
GO_TO_JAIL,2662,2.477
PACIFIC_AVENUE,2613,2.432
NORTH_CAROLINA_AVENUE,2600,2.420
COMMUNITY_CHEST_3,2688,2.502
PENNSYLVANIA_AVENUE,2504,2.330
SHORT_LINE,2514,2.340
CHANCE_3,2290,2.131
PARK_PLACE,2227,2.073
LUXURY_TAX,2227,2.073
BOARDWALK,2604,2.423


Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,2757,2.563
MEDITERRANEAN_AVENUE,2090,1.943
COMMUNITY_CHEST_1,2198,2.043
BALTIC_AVENUE,2201,2.046
INCOME_TAX,2297,2.135
READING_RAILROAD,2606,2.422
ORIENTAL_AVENUE,2273,2.113
CHANCE_1,2257,2.098
VERMONT_AVENUE,2196,2.041
CONNECTICUT_AVENUE,2305,2.142
JAIL,6698,6.225
ST_CHARLES_PLACE,2706,2.515
ELECTRIC_COMPANY,2656,2.469
