Strategy B,n = 100000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,2709,2.709
MEDITERRANEAN_AVENUE,2118,2.118
COMMUNITY_CHEST_1,2280,2.280
BALTIC_AVENUE,2253,2.253
INCOME_TAX,2288,2.288
READING_RAILROAD,2641,2.641
ORIENTAL_AVENUE,2245,2.245
CHANCE_1,2293,2.293
VERMONT_AVENUE,2241,2.241
CONNECTICUT_AVENUE,2310,2.310
JAIL,6479,6.479
ST_CHARLES_PLACE,2749,2.749
ELECTRIC_COMPANY,2660,2.660
STATES_AVENUE,2293,2.293
VIRGINIA_AVENUE,2483,2.483
PENNSYLVANIA_RAILROAD,2695,2.695
ST_JAMES_PLACE,2786,2.786
COMMUNITY_CHEST_2,2961,2.961
TENNESSEE_AVENUE,2986,2.986
NEW_YORK_AVENUE,3076,3.076
FREE_PARKING,2802,2.802
KENTUCKY_AVENUE,2742,2.742
CHANCE_2,2746,2.746
INDIANA_AVENUE,2736,2.736
ILLINOIS_AVENUE,3150,3.150
BO_RAILROAD,2892,2.892
ATLANTIC_AVENUE,2679,2.679
VENTNOR_AVENUE,2664,2.664
WATER_WORKS,2814,2.814
MARVIN_GARDENS,2611,2.611
GO_TO_JAIL,2639,2.639
PACIFIC_AVENUE,2655,2.655
NORTH_CAROLINA_AVENUE,2697,2.697
COMMUNITY_CHEST_3,2641,2.641
PENNSYLVANIA_AVENUE,2586,2.586
SHORT_LINE,2428,2.428
CHANCE_3,2304,2.304
PARK_PLACE,2189,2.189
LUXURY_TAX,2197,2.197
BOARDWALK,2696,2.696


Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,2692,2.692
MEDITERRANEAN_AVENUE,2215,2.215
COMMUNITY_CHEST_1,2210,2.210
BALTIC_AVENUE,2112,2.112
INCOME_TAX,2384,2.384
READING_RAILROAD,2610,2.610
ORIENTAL_AVENUE,2307,2.307
CHANCE_1,2275,2.275
VERMONT_AVENUE,2336,2.336
CONNECTICUT_AVENUE,2261,2.261
JAIL,6490,6.490
ST_CHARLES_PLACE,2695,2.695
ELECTRIC_COMPANY,2637,2.637
STATES_AVENUE,2302,2.302
VIRGINIA_AVENUE,2374,2.374
PENNSYLVANIA_RAILROAD,2756,2.756
ST_JAMES_PLACE,2855,2.855
COMMUNITY_CHEST_2,2957,2.957
TENNESSEE_AVENUE,2830,2.830
NEW_YORK_AVENUE,3131,3.131
FREE_PARKING,2848,2.848
KENTUCKY_AVENUE,2805,2.805
CHANCE_2,2692,2.692
INDIANA_AVENUE,2811,2.811
ILLINOIS_AVENUE,3187,3.187
BO_RAILROAD,2827,2.827
ATLANTIC_AVENUE,2663,2.663
VENTNOR_AVENUE,2704,2.704
WATER_WORKS,2854,2.854
MARVIN_GARDENS,2582,2.582
GO_TO_JAIL,2591,2.591
PACIFIC_AVENUE,2679,2.679
NORTH_CAROLINA_AVENUE,2586,2.586
COMMUNITY_CHEST_3,2687,2.687
PENNSYLVANIA_AVENUE,2497,2.497
SHORT_LINE,2521,2.521
CHANCE_3,2307,2.307
PARK_PLACE,2251,2.251
LUXURY_TAX,2202,2.202
BOARDWALK,2640,2.640


Trial 3

Space Name,Times Landed On,Percent Landed On (%)
GO,2758,2.758
MEDITERRANEAN_AVENUE,2074,2.074
COMMUNITY_CHEST_1,2225,2.225
BALTIC_AVENUE,2186,2.186
