Strategy B,n = 1000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,23,2.300
MEDITERRANEAN_AVENUE,28,2.800
COMMUNITY_CHEST_1,16,1.600
BALTIC_AVENUE,27,2.700
INCOME_TAX,20,2.000
READING_RAILROAD,28,2.800
ORIENTAL_AVENUE,21,2.100
CHANCE_1,29,2.900
VERMONT_AVENUE,26,2.600
CONNECTICUT_AVENUE,27,2.700
JAIL,65,6.500
ST_CHARLES_PLACE,20,2.000
ELECTRIC_COMPANY,23,2.300
STATES_AVENUE,26,2.600
VIRGINIA_AVENUE,20,2.000
PENNSYLVANIA_RAILROAD,29,2.900
ST_JAMES_PLACE,27,2.700
COMMUNITY_CHEST_2,35,3.500
TENNESSEE_AVENUE,28,2.800
NEW_YORK_AVENUE,40,4.000
FREE_PARKING,22,2.200
KENTUCKY_AVENUE,24,2.400
CHANCE_2,24,2.400
INDIANA_AVENUE,30,3.000
ILLINOIS_AVENUE,32,3.200
BO_RAILROAD,23,2.300
ATLANTIC_AVENUE,31,3.100
VENTNOR_AVENUE,27,2.700
WATER_WORKS,30,3.000
MARVIN_GARDENS,22,2.200
GO_TO_JAIL,29,2.900
PACIFIC_AVENUE,22,2.200
NORTH_CAROLINA_AVENUE,24,2.400
COMMUNITY_CHEST_3,30,3.000
PENNSYLVANIA_AVENUE,30,3.000
SHORT_LINE,26,2.600
CHANCE_3,20,2.000
PARK_PLACE,25,2.500
LUXURY_TAX,16,1.600
BOARDWALK,31,3.100


Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,22,2.200
MEDITERRANEAN_AVENUE,19,1.900
COMMUNITY_CHEST_1,25,2.500
BALTIC_AVENUE,23,2.300
INCOME_TAX,25,2.500
READING_RAILROAD,19,1.900
ORIENTAL_AVENUE,28,2.800
CHANCE_1,27,2.700
VERMONT_AVENUE,23,2.300
CONNECTICUT_AVENUE,17,1.700
JAIL,69,6.900
ST_CHARLES_PLACE,33,3.300
ELECTRIC_COMPANY,23,2.300
STATES_AVENUE,20,2.000
VIRGINIA_AVENUE,32,3.200
PENNSYLVANIA_RAILROAD,29,2.900
ST_JAMES_PLACE,22,2.200
COMMUNITY_CHEST_2,28,2.800
TENNESSEE_AVENUE,24,2.400
NEW_YORK_AVENUE,25,2.500
FREE_PARKING,30,3.000
KENTUCKY_AVENUE,28,2.800
CHANCE_2,33,3.300
INDIANA_AVENUE,26,2.600
ILLINOIS_AVENUE,28,2.800
BO_RAILROAD,41,4.100
ATLANTIC_AVENUE,18,1.800
VENTNOR_AVENUE,37,3.700
WATER_WORKS,30,3.000
MARVIN_GARDENS,20,2.000
GO_TO_JAIL,25,2.500
PACIFIC_AVENUE,32,3.200
NORTH_CAROLINA_AVENUE,30,3.000
COMMUNITY_CHEST_3,20,2.000
PENNSYLVANIA_AVENUE,32,3.200
SHORT_LINE,28,2.800
CHANCE_3,19,1.900
PARK_PLACE,16,1.600
LUXURY_TAX,21,2.100
BOARDWALK,29,2.900


Trial 3

Space Name,Times Landed On,Percent Landed On (%)
GO,27,2.700
