Strategy A,n = 1000,
ORIENTAL_AVENUE,15,1.391
CHANCE_1,16,1.484
VERMONT_AVENUE,28,2.597
CONNECTICUT_AVENUE,23,2.134
JAIL,81,7.514
ST_CHARLES_PLACE,20,1.855
ELECTRIC_COMPANY,29,2.69
STATES_AVENUE,27,2.505
VIRGINIA_AVENUE,22,2.041
PENNSYLVANIA_RAILROAD,20,1.855
ST_JAMES_PLACE,30,2.783
COMMUNITY_CHEST_2,29,2.69
TENNESSEE_AVENUE,36,3.34
NEW_YORK_AVENUE,33,3.061
FREE_PARKING,29,2.69
KENTUCKY_AVENUE,26,2.412
CHANCE_2,32,2.968
INDIANA_AVENUE,25,2.319
ILLINOIS_AVENUE,35,3.247
BO_RAILROAD,34,3.154
ATLANTIC_AVENUE,18,1.67
VENTNOR_AVENUE,31,2.876
WATER_WORKS,32,2.968
MARVIN_GARDENS,25,2.319
GO_TO_JAIL,27,2.505
PACIFIC_AVENUE,27,2.505
NORTH_CAROLINA_AVENUE,31,2.876
COMMUNITY_CHEST_3,22,2.041
PENNSYLVANIA_AVENUE,22,2.041
SHORT_LINE,19,1.763
CHANCE_3,23,2.134
PARK_PLACE,25,2.319
LUXURY_TAX,21,1.948
BOARDWALK,30,2.783
,,
,,
Trial 6,,
,,
Space Name,Times Landed On,Percent Landed On (%)
GO,29,2.665
MEDITERRANEAN_AVENUE,20,1.838
COMMUNITY_CHEST_1,26,2.39
BALTIC_AVENUE,19,1.746
INCOME_TAX,28,2.574
READING_RAILROAD,28,2.574
ORIENTAL_AVENUE,12,1.103
CHANCE_1,16,1.471
VERMONT_AVENUE,24,2.206
CONNECTICUT_AVENUE,15,1.379
JAIL,85,7.813
ST_CHARLES_PLACE,29,2.665
ELECTRIC_COMPANY,26,2.39
STATES_AVENUE,20,1.838
VIRGINIA_AVENUE,29,2.665
PENNSYLVANIA_RAILROAD,26,2.39
ST_JAMES_PLACE,36,3.309
COMMUNITY_CHEST_2,33,3.033
TENNESSEE_AVENUE,29,2.665
NEW_YORK_AVENUE,34,3.125
FREE_PARKING,28,2.574
KENTUCKY_AVENUE,24,2.206
CHANCE_2,31,2.849
INDIANA_AVENUE,31,2.849
ILLINOIS_AVENUE,29,2.665
BO_RAILROAD,32,2.941
ATLANTIC_AVENUE,34,3.125
VENTNOR_AVENUE,26,2.39
WATER_WORKS,12,1.103
MARVIN_GARDENS,27,2.482
GO_TO_JAIL,31,2.849
PACIFIC_AVENUE,29,2.665
NORTH_CAROLINA_AVENUE,26,2.39
COMMUNITY_CHEST_3,24,2.206
PENNSYLVANIA_AVENUE,34,3.125
SHORT_LINE,18,1.654
CHANCE_3,21,1.93
PARK_PLACE,18,1.654
LUXURY_TAX,21,1.93
BOARDWALK,28,2.574
,,
,,
Trial 7,,
,,
Space Name,Times Landed On,Percent Landed On (%)
GO,28,2.557
MEDITERRANEAN_AVENUE,18,1.644
COMMUNITY_CHEST_1,21,1.918
BALTIC_AVENUE,24,2.192
INCOME_TAX,15,1.37
READING_RAILROAD,28,2.557
ORIENTAL_AVENUE,20,1.826
CHANCE_1,21,1.918
VERMONT_AVENUE,23,2.1
CONNECTICUT_AVENUE,25,2.283
JAIL,75,6.849
ST_CHARLES_PLACE,27,2.466
ELECTRIC_COMPANY,30,2.74
STATES_AVENUE,22,2.009
VIRGINIA_AVENUE,22,2.009
PENNSYLVANIA_RAILROAD,32,2.922
ST_JAMES_PLACE,24,2.192
COMMUNITY_CHEST_2,25,2.283
TENNESSEE_AVENUE,29,2.648
NEW_YORK_AVENUE,36,3.288
FREE_PARKING,24,2.192
KENTUCKY_AVENUE,36,3.288
CHANCE_2,35,3.196
INDIANA_AVENUE,28,2.557
ILLINOIS_AVENUE,31,2.831
BO_RAILROAD,25,2.283
ATLANTIC_AVENUE,31,2.831
VENTNOR_AVENUE,32,2.922
WATER_WORKS,23,2.1
MARVIN_GARDENS,27,2.466
GO_TO_JAIL,35,3.196
PACIFIC_AVENUE,27,2.466
NORTH_CAROLINA_AVENUE,23,2.1
COMMUNITY_CHEST_3,26,2.374
PENNSYLVANIA_AVENUE,24,2.192
SHORT_LINE,19,1.735
CHANCE_3,32,2.922
PARK_PLACE,26,2.374
LUXURY_TAX,26,2.374
BOARDWALK,20,1.826
,,
,,
Trial 8,,
,,
Space Name,Times Landed On,Percent Landed On (%)
GO,31,2.897
MEDITERRANEAN_AVENUE,17,1.589
COMMUNITY_CHEST_1,25,2.336
BALTIC_AVENUE,26,2.43
INCOME_TAX,27,2.523
READING_RAILROAD,28,2.617
ORIENTAL_AVENUE,20,1.869
CHANCE_1,26,2.43
VERMONT_AVENUE,20,1.869
CONNECTICUT_AVENUE,22,2.056
JAIL,57,5.327
ST_CHARLES_PLACE,25,2.336
ELECTRIC_COMPANY,29,2.71
STATES_AVENUE,21,1.963
VIRGINIA_AVENUE,32,2.991
PENNSYLVANIA_RAILROAD,28,2.617
ST_JAMES_PLACE,26,2.43
COMMUNITY_CHEST_2,25,2.336
TENNESSEE_AVENUE,18,1.682
NEW_YORK_AVENUE,27,2.523
FREE_PARKING,25,2.336
KENTUCKY_AVENUE,31,2.897
CHANCE_2,37,3.458
INDIANA_AVENUE,25,2.336
ILLINOIS_AVENUE,29,2.71
BO_RAILROAD,30,2.804
ATLANTIC_AVENUE,23,2.15
VENTNOR_AVENUE,26,2.43
WATER_WORKS,28,2.617
MARVIN_GARDENS,33,3.084
GO_TO_JAIL,17,1.589
PACIFIC_AVENUE,34,3.178
NORTH_CAROLINA_AVENUE,26,2.43
COMMUNITY_CHEST_3,24,2.243
PENNSYLVANIA_AVENUE,20,1.869
SHORT_LINE,36,3.364
CHANCE_3,25,2.336
PARK_PLACE,22,2.056
LUXURY_TAX,19,1.776
BOARDWALK,30,2.804
,,
,,
Trial 9,,
,,
Space Name,Times Landed On,Percent Landed On (%)
GO,24,2.237
MEDITERRANEAN_AVENUE,14,1.305
COMMUNITY_CHEST_1,36,3.355
BALTIC_AVENUE,23,2.144
INCOME_TAX,22,2.05
READING_RAILROAD,26,2.423
ORIENTAL_AVENUE,17,1.584
CHANCE_1,24,2.237
VERMONT_AVENUE,19,1.771
CONNECTICUT_AVENUE,29,2.703
JAIL,67,6.244
ST_CHARLES_PLACE,31,2.889
