Strategy A,n = 10000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,279,2.591
MEDITERRANEAN_AVENUE,218,2.024
COMMUNITY_CHEST_1,222,2.061
BALTIC_AVENUE,221,2.052
INCOME_TAX,234,2.173
READING_RAILROAD,260,2.414
ORIENTAL_AVENUE,243,2.256
CHANCE_1,266,2.470
VERMONT_AVENUE,206,1.913
CONNECTICUT_AVENUE,221,2.052
JAIL,663,6.157
ST_CHARLES_PLACE,273,2.535
ELECTRIC_COMPANY,246,2.284
STATES_AVENUE,226,2.099
VIRGINIA_AVENUE,245,2.275
PENNSYLVANIA_RAILROAD,269,2.498
ST_JAMES_PLACE,273,2.535
COMMUNITY_CHEST_2,297,2.758
TENNESSEE_AVENUE,309,2.869
NEW_YORK_AVENUE,320,2.971
FREE_PARKING,285,2.646
KENTUCKY_AVENUE,259,2.405
CHANCE_2,262,2.433
INDIANA_AVENUE,293,2.721
ILLINOIS_AVENUE,316,2.934
BO_RAILROAD,283,2.628
ATLANTIC_AVENUE,280,2.600
VENTNOR_AVENUE,288,2.674
WATER_WORKS,279,2.591
MARVIN_GARDENS,240,2.229
GO_TO_JAIL,267,2.479
PACIFIC_AVENUE,270,2.507
NORTH_CAROLINA_AVENUE,264,2.451
COMMUNITY_CHEST_3,272,2.526
PENNSYLVANIA_AVENUE,242,2.247
SHORT_LINE,221,2.052
CHANCE_3,233,2.164
PARK_PLACE,227,2.108
LUXURY_TAX,216,2.006
BOARDWALK,281,2.609


Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,262,2.438
MEDITERRANEAN_AVENUE,231,2.149
COMMUNITY_CHEST_1,238,2.215
BALTIC_AVENUE,211,1.963
INCOME_TAX,242,2.252
READING_RAILROAD,260,2.419
ORIENTAL_AVENUE,219,2.038
CHANCE_1,227,2.112
VERMONT_AVENUE,232,2.159
CONNECTICUT_AVENUE,240,2.233
JAIL,648,6.030
ST_CHARLES_PLACE,264,2.456
ELECTRIC_COMPANY,253,2.354
STATES_AVENUE,219,2.038
VIRGINIA_AVENUE,249,2.317
PENNSYLVANIA_RAILROAD,292,2.717
ST_JAMES_PLACE,276,2.568
COMMUNITY_CHEST_2,267,2.484
TENNESSEE_AVENUE,307,2.857
NEW_YORK_AVENUE,284,2.643
FREE_PARKING,301,2.801
KENTUCKY_AVENUE,281,2.615
CHANCE_2,267,2.484
INDIANA_AVENUE,273,2.540
ILLINOIS_AVENUE,308,2.866
BO_RAILROAD,276,2.568
ATLANTIC_AVENUE,267,2.484
VENTNOR_AVENUE,288,2.680
WATER_WORKS,274,2.550
MARVIN_GARDENS,288,2.680
GO_TO_JAIL,265,2.466
PACIFIC_AVENUE,258,2.401
NORTH_CAROLINA_AVENUE,253,2.354
COMMUNITY_CHEST_3,281,2.615
PENNSYLVANIA_AVENUE,257,2.391
SHORT_LINE,242,2.252
CHANCE_3,236,2.196
PARK_PLACE,252,2.345
LUXURY_TAX,205,1.908
BOARDWALK,254,2.363


Trial 3

Space Name,Times Landed On,Percent Landed On (%)
GO,249,2.319
MEDITERRANEAN_AVENUE,207,1.928
COMMUNITY_CHEST_1,207,1.928
BALTIC_AVENUE,246,2.291
INCOME_TAX,233,2.170
READING_RAILROAD,256,2.384
ORIENTAL_AVENUE,245,2.282
CHANCE_1,224,2.086
VERMONT_AVENUE,211,1.965
CONNECTICUT_AVENUE,220,2.049
JAIL,654,6.091
ST_CHARLES_PLACE,269,2.505
ELECTRIC_COMPANY,254,2.365
STATES_AVENUE,235,2.188
VIRGINIA_AVENUE,246,2.291
PENNSYLVANIA_RAILROAD,287,2.673
ST_JAMES_PLACE,249,2.319
COMMUNITY_CHEST_2,289,2.691
TENNESSEE_AVENUE,284,2.645
NEW_YORK_AVENUE,355,3.306
FREE_PARKING,296,2.757
KENTUCKY_AVENUE,252,2.347
CHANCE_2,273,2.542
INDIANA_AVENUE,281,2.617
ILLINOIS_AVENUE,325,3.027
