Strategy B,n = 1000000

Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,27442,2.552575597332641
MEDITERRANEAN_AVENUE,22176,2.062747483654568
COMMUNITY_CHEST_1,22004,2.0467485403289642
BALTIC_AVENUE,21815,2.029168306093272
INCOME_TAX,23526,2.1883205853380847
READING_RAILROAD,25523,2.374075758717331
ORIENTAL_AVENUE,22701,2.111581467642602
CHANCE_1,22765,2.1175345628335243
VERMONT_AVENUE,22812,2.121906367114358
CONNECTICUT_AVENUE,22939,2.1337195403838445
JAIL,66909,6.223681970772163
ST_CHARLES_PLACE,26729,2.486254396221273
ELECTRIC_COMPANY,25879,2.4071898507168363
STATES_AVENUE,23444,2.1806931821247155
VIRGINIA_AVENUE,24420,2.27147788378628
PENNSYLVANIA_RAILROAD,27727,2.579085474354717
ST_JAMES_PLACE,27751,2.581317885051313
COMMUNITY_CHEST_2,29526,2.746423259487048
TENNESSEE_AVENUE,29561,2.7496788584195837
NEW_YORK_AVENUE,30343,2.822418240283665
FREE_PARKING,28757,2.6748931000836222
KENTUCKY_AVENUE,27945,2.599363204848796
CHANCE_2,27429,2.5513663748719853
INDIANA_AVENUE,27271,2.536669671119396
ILLINOIS_AVENUE,31662,2.9451078114840787
BO_RAILROAD,29300,2.7254013920941036
ATLANTIC_AVENUE,26991,2.510624879659111
VENTNOR_AVENUE,26961,2.507834366288366
WATER_WORKS,28087,2.612571634803655
MARVIN_GARDENS,25847,2.4042133031213755
GO_TO_JAIL,26525,2.4672789053002084
PACIFIC_AVENUE,26722,2.485603276434766
NORTH_CAROLINA_AVENUE,26282,2.4446757469971754
COMMUNITY_CHEST_3,26941,2.505974024041203
PENNSYLVANIA_AVENUE,24855,2.31194032766208
SHORT_LINE,24543,2.282918988606334
CHANCE_3,22900,2.1300918730018763
PARK_PLACE,21785,2.0263777927225273
LUXURY_TAX,21767,2.02470348470008
BOARDWALK,26509,2.4657906315024776

Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,27437,2.5525473840506026
MEDITERRANEAN_AVENUE,21826,2.0305390241020684
COMMUNITY_CHEST_1,22052,2.0515644900347665
BALTIC_AVENUE,22264,2.0712874934760586
INCOME_TAX,23371,2.1742750633322387
READING_RAILROAD,25697,2.390669902975848
ORIENTAL_AVENUE,22513,2.0944527192160662
CHANCE_1,22715,2.113245392306354
VERMONT_AVENUE,23029,2.1424577653278902
CONNECTICUT_AVENUE,23014,2.1410622698013837
JAIL,66721,6.207257134936044
ST_CHARLES_PLACE,26465,2.462119273932981
ELECTRIC_COMPANY,25833,2.4033223957495067
STATES_AVENUE,23589,2.1945562649841333
VIRGINIA_AVENUE,24568,2.2856356063474577
PENNSYLVANIA_RAILROAD,27486,2.557106002770524
ST_JAMES_PLACE,27691,2.576177774966113
COMMUNITY_CHEST_2,29380,2.7333105712507457
TENNESSEE_AVENUE,29128,2.709866246405436
NEW_YORK_AVENUE,30777,2.8632777212860514
FREE_PARKING,28473,2.648929608414652
KENTUCKY_AVENUE,27963,2.6014827605134307
CHANCE_2,27494,2.5578502670513275
INDIANA_AVENUE,27040,2.5156132691157302
ILLINOIS_AVENUE,31817,2.960032077790503
BO_RAILROAD,28992,2.697213753631777
